,importance,var
141,0.0010787804,p_/computes0/metrics/hardware-ipmi-current#power_meter_(0x43)/hardware-ipmi-current
833,0.0010767144,v_/ports#link-tr-intgw-a-2-y/metrics/network-outgoing-bytes
886,0.0010721051,v_/ports#link-tr-intgw-b-1-y/metrics/network-outgoing-packets-rate
89,0.001061333,p_/computes0/metrics/hardware-disk#nvme0n1/hardware-disk-write-bytes
761,0.0010483696,v_/ports#link-intgw-exgw-b-3-x/metrics/network-outgoing-bytes
404,0.0010336161,n_/devices/modules/Cisco-IOS-XE-platform-software-oper/cisco-platform-software/q-filesystem/partitions/used-size
571,0.0010257307,v_/devices#TR-01/metrics/disk-write-requests-rate
865,0.0010239219,v_/ports#link-tr-intgw-b-1-x/metrics/network-incoming-packets
28,0.0010219559,p_/computes0/metrics/hardware/hardware-cpu-load-15min
895,0.001021265,v_/ports#link-tr-intgw-b-2-x/metrics/network-outgoing-packets
744,0.001009461,v_/ports#link-intgw-exgw-b-2-x/metrics/network-incoming-bytes-rate
869,0.0010066009,v_/ports#link-tr-intgw-b-1-x/metrics/network-outgoing-bytes
871,0.0009995225,v_/ports#link-tr-intgw-b-1-x/metrics/network-outgoing-packets
673,0.0009960082,v_/ports#TR-01/metrics/network-incoming-packets
784,0.0009906166,v_/ports#link-intgw-ip-a-2-x/metrics/network-incoming-packets-rate
700,0.0009831523,v_/ports#link-intgw-exgw-a-1-x/metrics/network-incoming-packets-rate
749,0.0009716876,v_/ports#link-intgw-exgw-b-2-x/metrics/network-outgoing-bytes
591,0.00096824206,v_/devices#TR-02/metrics/disk-device-write-bytes
670,0.00096349174,v_/ports#RR-01/metrics/network-outgoing-packets-rate
955,0.0009549723,v_/ports#link-tr-ssm-a-1-y/metrics/network-outgoing-packets
63,0.0009484951,p_/computes0/metrics/hardware-disk#nvme0n1p2/hardware-disk-read-bytes
742,0.0009455997,v_/ports#link-intgw-exgw-b-1-x/metrics/network-outgoing-packets-rate
394,0.0009265603,n_/devices/modules/Cisco-IOS-XE-platform-software-oper/cisco-platform-software/control-processes/control-process/per-core-stats/per-core-stat/system
